,topic,prev_section,next_section,prev_doc_text,next_doc_text,questions,answers,scores
10,machine learning,Theory,Theory,"For the best performance in the context of generalization, the complexity of the hypothesis should match the complexity of the function underlying the data. If the hypothesis is less complex than the function, then the model has under fitted the data. If the complexity of the model is increased in response, then the training error decreases. But if the hypothesis is too complex, then the model is subject to overfitting and generalization will be poorer.","In addition to performance bounds, learning theorists study the time complexity and feasibility of learning. In computational learning theory, a computation is considered feasible if it can be done in polynomial time. There are two kinds of time complexity results: Positive results show that a certain class of functions can be learned in polynomial time. Negative results show that certain classes cannot be learned in polynomial time.
","[' What do learning theorists study in addition to performance bounds?', ' What is considered feasible in computational learning theory if it can be done in polynomial time?', ' How many kinds of time complexity results are there?', ' Positive results show that a certain class of functions can do what?', ' Positive results show that a certain class of functions can be learned in what time?', ' Negative results show what?']","['time complexity and feasibility of learning', 'a computation', 'two', 'learned in polynomial time', 'polynomial time', 'certain classes cannot be learned in polynomial time']","[0.6634190231561661, 0.8728274405002594, 0.900559812784195, 0.4282187968492508, 0.45551133155822754, 0.6703253090381622]"
11,machine learning,Theory,Approaches,"In addition to performance bounds, learning theorists study the time complexity and feasibility of learning. In computational learning theory, a computation is considered feasible if it can be done in polynomial time. There are two kinds of time complexity results: Positive results show that a certain class of functions can be learned in polynomial time. Negative results show that certain classes cannot be learned in polynomial time.
","
Machine learning approaches are traditionally divided into three broad categories, depending on the nature of the ""signal"" or ""feedback"" available to the learning system:
",[' Machine learning approaches are traditionally divided into how many broad categories?'],['three'],[0.9168162941932678]
12,machine learning,Applications,Applications,"There are many applications for machine learning, including:
","In 2006, the media-services provider Netflix held the first ""Netflix Prize"" competition to find a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm by at least 10%.  A joint team made up of researchers from AT&T Labs-Research in collaboration with the teams Big Chaos and Pragmatic Theory built an ensemble model to win the Grand Prize in 2009 for $1 million. Shortly after the prize was awarded, Netflix realized that viewers' ratings were not the best indicators of their viewing patterns (""everything is a recommendation"") and they changed their recommendation engine accordingly. In 2010 The Wall Street Journal wrote about the firm Rebellion Research and their use of machine learning to predict the financial crisis. In 2012, co-founder of Sun Microsystems, Vinod Khosla, predicted that 80% of medical doctors' jobs would be lost in the next two decades to automated machine learning medical diagnostic software. In 2014, it was reported that a machine learning algorithm had been applied in the field of art history to study fine art paintings and that it may have revealed previously unrecognized influences among artists. In 2019 Springer Nature published the first research book created using machine learning. In 2020, machine learning technology was used to help make diagnoses and aid researchers in developing a cure for COVID-19. Machine learning is recently applied to predict the green behavior of human-being. Recently, machine learning technology is also applied to optimise smartphone's performance and thermal behaviour based on the user's interaction with the phone.","[' In what year did Netflix hold the first ""Netflix Prize"" competition?', ' What was the goal of the first competition for a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm?', ' In 2006, what was the name of the competition held by the media-services provider Netflix?', ' What was the prize for the ensemble model that won the Grand Prize in 2009?', "" What company realized that viewers' ratings were not the best indicators of their viewing patterns?"", ' In what year did the grand prize win?', ' What did The Wall Street Journal write about in 2010?', ' What did Rebellion Research use to predict the financial crisis?', ' Who was the co-founder of Sun Microsystems in 2012?', "" Who predicted that 80% of medical doctors' jobs would be lost in the next two decades?"", ' What year was it reported that a machine learning algorithm had been applied in the field?', ' In what field was a machine learning algorithm applied to study fine art paintings?', ' In what year did Springer Nature publish the first research book created using machine learning?', ' In what year was machine learning used to help researchers develop a cure for COVID-19?', ' What has been applied to predict the green behavior of human-being?', ' Machine learning is also applied to optimise what?', "" What is applied to optimise smartphone's performance and thermal behaviour based on user interaction with the phone?""]","['2006', 'at least 10%.', 'Netflix Prize', '$1\xa0million', 'Netflix', '2009', 'Rebellion Research', 'machine learning', 'Vinod Khosla', 'Vinod Khosla', '2014', 'art history', '2019', '2020', 'Machine learning', ""smartphone's performance and thermal behaviour"", 'machine learning technology']","[0.990334689617157, 0.6495348215103149, 0.6387156546115875, 0.9709452688694, 0.5677154362201691, 0.9829132854938507, 0.7218020856380463, 0.993554562330246, 0.9948334693908691, 0.9076131582260132, 0.8304426074028015, 0.966478705406189, 0.9926455020904541, 0.9823903143405914, 0.9787939190864563, 0.7162711471319199, 0.8794623017311096]"
13,machine learning,Applications,Limitations,"In 2006, the media-services provider Netflix held the first ""Netflix Prize"" competition to find a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm by at least 10%.  A joint team made up of researchers from AT&T Labs-Research in collaboration with the teams Big Chaos and Pragmatic Theory built an ensemble model to win the Grand Prize in 2009 for $1 million. Shortly after the prize was awarded, Netflix realized that viewers' ratings were not the best indicators of their viewing patterns (""everything is a recommendation"") and they changed their recommendation engine accordingly. In 2010 The Wall Street Journal wrote about the firm Rebellion Research and their use of machine learning to predict the financial crisis. In 2012, co-founder of Sun Microsystems, Vinod Khosla, predicted that 80% of medical doctors' jobs would be lost in the next two decades to automated machine learning medical diagnostic software. In 2014, it was reported that a machine learning algorithm had been applied in the field of art history to study fine art paintings and that it may have revealed previously unrecognized influences among artists. In 2019 Springer Nature published the first research book created using machine learning. In 2020, machine learning technology was used to help make diagnoses and aid researchers in developing a cure for COVID-19. Machine learning is recently applied to predict the green behavior of human-being. Recently, machine learning technology is also applied to optimise smartphone's performance and thermal behaviour based on the user's interaction with the phone.","Although machine learning has been transformative in some fields, machine-learning programs often fail to deliver expected results. Reasons for this are numerous: lack of (suitable) data, lack of access to the data, data bias, privacy problems, badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems.","[' Machine learning has been transformative in what fields?', ' Why do machine learning programs often fail to deliver expected results?', ' What are some of the problems with algorithms?', ' What is one of the issues with evaluation?']","['some fields', 'lack of (suitable) data', 'badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems', 'lack of resources']","[0.36313020437955856, 0.6245921701192856, 0.06115887500345707, 0.37439996004104614]"
14,machine learning,Limitations,Limitations,"Although machine learning has been transformative in some fields, machine-learning programs often fail to deliver expected results. Reasons for this are numerous: lack of (suitable) data, lack of access to the data, data bias, privacy problems, badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems.","In 2018, a self-driving car from Uber failed to detect a pedestrian, who was killed after a collision. Attempts to use machine learning in healthcare with the IBM Watson system failed to deliver even after years of time and billions of dollars invested.","[' In 2018, a self-driving car from what company failed to detect a pedestrian?', "" What was the cause of the pedestrian's death?"", ' In 2018, what system failed to deliver even after years of time and billions of dollars invested?']","['Uber', 'after a collision', 'IBM Watson']","[0.9966593086719513, 0.6916291266679764, 0.7207906544208527]"
15,machine learning,Limitations,Limitations,"In 2018, a self-driving car from Uber failed to detect a pedestrian, who was killed after a collision. Attempts to use machine learning in healthcare with the IBM Watson system failed to deliver even after years of time and billions of dollars invested.","Machine learning has been used as a strategy to update the evidence related to systematic review and increased reviewer burden related to the growth of biomedical literature. While it has improved with training sets, it has not yet developed sufficiently to reduce the workload burden without limiting the necessary sensitivity for the findings research themselves.","[' Machine learning has been used to update the evidence related to what?', ' What has increased reviewer burden related to the growth of biomedical literature?', ' How has machine learning improved with training sets?', ' To reduce the workload without limiting the necessary sensitivity for the findings research themselves?']","['systematic review', 'Machine learning', 'it has not yet developed sufficiently to reduce the workload burden without limiting the necessary sensitivity for the findings research themselves', 'Machine learning']","[0.850388914346695, 0.7973089218139648, 0.4360301047563553, 0.2751920372247696]"
16,machine learning,Limitations,Model assessments,"Machine learning has been used as a strategy to update the evidence related to systematic review and increased reviewer burden related to the growth of biomedical literature. While it has improved with training sets, it has not yet developed sufficiently to reduce the workload burden without limiting the necessary sensitivity for the findings research themselves.","Classification of machine learning models can be validated by accuracy estimation techniques like the holdout method, which splits the data in a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set. In comparison, the K-fold-cross-validation method randomly partitions the data into K subsets and then K experiments are performed each respectively considering 1 subset for evaluation and the remaining K-1 subsets for training the model. In addition to the holdout and cross-validation methods, bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy.","[' What can be validated by accuracy estimation techniques like the holdout method?', ' What splits the data in a training and test set and evaluates the performance of the training model on the test set?', ' What does the K-fold-cross-validation method randomly partition the data into?', ' How many subsets of data are used for evaluation?', ' What is used for training the model?', ' What can be used to assess model accuracy?', ' What does bootstrap sample?']","['Classification of machine learning models', 'holdout method', 'K subsets', '1', 'K-1 subsets', 'bootstrap', 'n instances with replacement from the dataset']","[0.9114567637443542, 0.7829971313476562, 0.9814216196537018, 0.8412502408027649, 0.8153704106807709, 0.9603467881679535, 0.9254405796527863]"
17,machine learning,Model assessments,Model assessments,"Classification of machine learning models can be validated by accuracy estimation techniques like the holdout method, which splits the data in a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set. In comparison, the K-fold-cross-validation method randomly partitions the data into K subsets and then K experiments are performed each respectively considering 1 subset for evaluation and the remaining K-1 subsets for training the model. In addition to the holdout and cross-validation methods, bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy.","In addition to overall accuracy, investigators frequently report sensitivity and specificity meaning True Positive Rate (TPR) and True Negative Rate (TNR) respectively. Similarly, investigators sometimes report the false positive rate (FPR) as well as the false negative rate (FNR). However, these rates are ratios that fail to reveal their numerators and denominators. The total operating characteristic (TOC) is an effective method to express a model's diagnostic ability. TOC shows the numerators and denominators of the previously mentioned rates, thus TOC provides more information than the commonly used receiver operating characteristic (ROC) and ROC's associated area under the curve (AUC).","[' What do investigators often report in addition to overall accuracy?', ' What are TPR and TNR?', ' What are ratios that fail to reveal their numerators and denominators?', "" What is an effective method to express a model's diagnostic ability?"", ' What does AUC stand for?', ' What is the most common receiver operating characteristic?']","['sensitivity and specificity', 'True Positive Rate (TPR) and True Negative Rate', 'false positive rate', 'The total operating characteristic', 'associated area under the curve', 'ROC']","[0.8083942532539368, 0.6759800314903259, 0.3409174829721451, 0.5349939465522766, 0.9199413359165192, 0.7472849190235138]"
18,machine learning,Model assessments,Ethics,"In addition to overall accuracy, investigators frequently report sensitivity and specificity meaning True Positive Rate (TPR) and True Negative Rate (TNR) respectively. Similarly, investigators sometimes report the false positive rate (FPR) as well as the false negative rate (FNR). However, these rates are ratios that fail to reveal their numerators and denominators. The total operating characteristic (TOC) is an effective method to express a model's diagnostic ability. TOC shows the numerators and denominators of the previously mentioned rates, thus TOC provides more information than the commonly used receiver operating characteristic (ROC) and ROC's associated area under the curve (AUC).","Machine learning poses a host of ethical questions. Systems which are trained on datasets collected with biases may exhibit these biases upon use (algorithmic bias), thus digitizing cultural prejudices. For example, in 1988, the UK's Commission for Racial Equality found that St. George's Medical School had been using a computer program trained from data of previous admissions staff and this program had denied nearly 60 candidates who were found to be either women or had non-European sounding names. Using job hiring data from a firm with racist hiring policies may lead to a machine learning system duplicating the bias by scoring job applicants by similarity to previous successful applicants. Responsible collection of data and documentation of algorithmic rules used by a system thus is a critical part of machine learning.
","[' Machine learning poses a host of what?', ' What may systems trained on datasets collected with biases exhibit upon use?', "" Who found that St. George's Medical School had been using a computer?"", "" What computer program was used at St. George's Medical School?"", ' How many candidates were denied by the computer program?', ' What were the names of the candidates that were denied?', ' Who was using job hiring data from?', ' What may lead to a machine learning system duplicating the bias?', ' What is a critical part of machine learning?']","['ethical questions', 'digitizing cultural prejudices', ""UK's Commission for Racial Equality"", 'trained from data of previous admissions staff', 'nearly 60', 'women or had non-European sounding names', 'a firm with racist hiring policies', 'Using job hiring data from a firm with racist hiring policies', 'Responsible collection of data and documentation of algorithmic rules']","[0.9559535384178162, 0.3762038052082062, 0.7378281652927399, 0.2567901574075222, 0.688878744840622, 0.5877679139375687, 0.5813488662242889, 0.8192422389984131, 0.6463737338781357]"
19,machine learning,Ethics,Ethics,"Machine learning poses a host of ethical questions. Systems which are trained on datasets collected with biases may exhibit these biases upon use (algorithmic bias), thus digitizing cultural prejudices. For example, in 1988, the UK's Commission for Racial Equality found that St. George's Medical School had been using a computer program trained from data of previous admissions staff and this program had denied nearly 60 candidates who were found to be either women or had non-European sounding names. Using job hiring data from a firm with racist hiring policies may lead to a machine learning system duplicating the bias by scoring job applicants by similarity to previous successful applicants. Responsible collection of data and documentation of algorithmic rules used by a system thus is a critical part of machine learning.
","AI can be well-equipped to make decisions in technical fields, which rely heavily on data and historical information. These decisions rely on objectivity and logical reasoning. Because human languages contain biases, machines trained on language corpora will necessarily also learn these biases.","[' AI can be well-equipped to make decisions in what fields?', ' Decisions in technical fields rely heavily on what?', ' Machines trained on what corpora will automatically learn these biases?']","['technical fields', 'data and historical information', 'language']","[0.818221390247345, 0.7530719935894012, 0.6715354919433594]"
20,machine learning,Ethics,Ethics,"AI can be well-equipped to make decisions in technical fields, which rely heavily on data and historical information. These decisions rely on objectivity and logical reasoning. Because human languages contain biases, machines trained on language corpora will necessarily also learn these biases.","Other forms of ethical challenges, not related to personal biases, are seen in health care. There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines. This is especially true in the United States where there is a long-standing ethical dilemma of improving health care, but also increasing profits. For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes. There is  potential for machine learning in health care to provide professionals an additional tool to diagnose, medicate, and plan recovery paths for patients, but this requires these biases to be mitigated.","[' What are other forms of ethical challenges seen in health care?', "" There are concerns among health care professionals that systems might not be designed in the public's interest but as what?"", ' Where is there a long-standing ethical dilemma of improving health care but also increasing profits?', ' What could be designed to provide patients with unnecessary tests or medication?', ' What do owners hold stakes in?', ' What is potential for machine learning in health care to provide?']","['not related to personal biases', 'income-generating machines', 'the United States', 'algorithms', 'medication', 'an additional tool to diagnose, medicate, and plan recovery paths for patients']","[0.3401649668812752, 0.9733764827251434, 0.7839846014976501, 0.8036337196826935, 0.15472186356782913, 0.5177566856145859]"
21,machine learning,Ethics,Hardware,"Other forms of ethical challenges, not related to personal biases, are seen in health care. There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines. This is especially true in the United States where there is a long-standing ethical dilemma of improving health care, but also increasing profits. For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes. There is  potential for machine learning in health care to provide professionals an additional tool to diagnose, medicate, and plan recovery paths for patients, but this requires these biases to be mitigated.","Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks (a particular narrow subdomain of machine learning) that contain many layers of non-linear hidden units. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI. OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of 3.4 months.","[' In what decade did advances in machine learning algorithms and computer hardware lead to more efficient methods for training deep neural networks?', ' Deep neural networks contain many layers of what?', ' Graphic processing units (GPUs) had displaced what in AI-specific enhancements by 2019?', ' What was the dominant method of training large-scale commercial cloud AI?', ' OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017)?', ' How many times did the amount of compute required increase?', ' What was the doubling-time trendline of 3.4 months?']","['2010s', 'non-linear hidden units', 'CPUs', 'CPUs', '300,000-fold increase in the amount of compute required', '300,000-fold', '300,000-fold increase in the amount of compute required']","[0.9165545403957367, 0.9767566919326782, 0.9763616323471069, 0.5269246995449066, 0.070795226842165, 0.7569250166416168, 0.26015493273735046]"
