,topic,section,full_text,prefix,suffix,questions,answers,scores
15,machine learning,Ethics,"Machine learning poses a host of ethical questions. Systems which are trained on datasets collected with biases may exhibit these biases upon use (algorithmic bias), thus digitizing cultural prejudices. For example, in 1988, the UK's Commission for Racial Equality found that St. George's Medical School had been using a computer program trained from data of previous admissions staff and this program had denied nearly 60 candidates who were found to be either women or had non-European sounding names. Using job hiring data from a firm with racist hiring policies may lead to a machine learning system duplicating the bias by scoring job applicants by similarity to previous successful applicants. Responsible collection of data and documentation of algorithmic rules used by a system thus is a critical part of machine learning.
","Machine learning poses a host of ethical questions. Systems which are trained on datasets collected with biases may exhibit these biases upon use (algorithmic bias), thus digitizing cultural prejudices.","For example, in 1988, the UK's Commission for Racial Equality found that St. George's Medical School had been using a computer program trained from data of previous admissions staff and this program had denied nearly 60 candidates who were found to be either women or had non-European sounding names. Using job hiring data from a firm with racist hiring policies may lead to a machine learning system duplicating the bias by scoring job applicants by similarity to previous successful applicants. Responsible collection of data and documentation of algorithmic rules used by a system thus is a critical part of machine learning.","["" What year did the UK's Commission for Racial Equality find that St. George's Medical School had been using a computer program?"", ' How many candidates were denied by the computer program that was trained from data of previous admissions staff?', ' What type of names were used?', ' What may lead to a machine learning system duplicating the bias?', ' How are job applicants scored?', ' What is a critical part of machine learning?', ' What is responsible collection of data and documentation of?']","['1988', 'nearly 60', 'non-European sounding names', 'Using job hiring data from a firm with racist hiring policies', 'similarity to previous successful applicants', 'Responsible collection of data and documentation of algorithmic rules', 'algorithmic rules']","[0.9878466427326202, 0.7855466306209564, 0.17669279873371124, 0.8481221199035645, 0.7286947965621948, 0.6595415025949478, 0.8913416564464569]"
16,machine learning,Ethics,"AI can be well-equipped to make decisions in technical fields, which rely heavily on data and historical information. These decisions rely on objectivity and logical reasoning. Because human languages contain biases, machines trained on language corpora will necessarily also learn these biases.","AI can be well-equipped to make decisions in technical fields, which rely heavily on data and historical information. These decisions rely on objectivity and logical reasoning.","Because human languages contain biases, machines trained on language corpora will necessarily also learn these biases.","[' Why do human languages contain biases?', ' Machines trained on language corpora will learn what?']","['machines trained on language corpora will necessarily also learn these biases', 'biases']","[0.3158797025680542, 0.516608938574791]"
17,machine learning,Ethics,"Other forms of ethical challenges, not related to personal biases, are seen in health care. There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines. This is especially true in the United States where there is a long-standing ethical dilemma of improving health care, but also increasing profits. For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes. There is  potential for machine learning in health care to provide professionals an additional tool to diagnose, medicate, and plan recovery paths for patients, but this requires these biases to be mitigated.","Other forms of ethical challenges, not related to personal biases, are seen in health care. There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines.","This is especially true in the United States where there is a long-standing ethical dilemma of improving health care, but also increasing profits. For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes. There is  potential for machine learning in health care to provide professionals an additional tool to diagnose, medicate, and plan recovery paths for patients, but this requires these biases to be mitigated.","[' Where is there a long-standing ethical dilemma of improving health care but also increasing profits?', ' What could algorithms be designed to provide patients with?', ' What do the proprietary owners of the algorithm hold stakes in?', ' There is potential for machine learning in health care to provide what?']","['the United States', 'unnecessary tests or medication', 'unnecessary tests or medication', 'professionals an additional tool to diagnose, medicate, and plan recovery paths for patients']","[0.8110209405422211, 0.924702376127243, 0.7524944841861725, 0.5451114773750305]"
18,machine learning,Hardware,"Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks (a particular narrow subdomain of machine learning) that contain many layers of non-linear hidden units. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI. OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of 3.4 months.","Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks (a particular narrow subdomain of machine learning) that contain many layers of non-linear hidden units. By 2019, graphic processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI.","OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of 3.4 months.","[' OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to what?', ' OpenAI found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of how long?']","['AlphaZero', '3.4 months']","[0.7128137648105621, 0.8791193962097168]"
19,genetic algorithm,Summary,"In computer science and operations research, a genetic algorithm (GA) is a metaheuristic inspired by the process of natural selection that belongs to the larger class of evolutionary algorithms (EA). Genetic algorithms are commonly used to generate high-quality solutions to optimization and search problems by relying on biologically inspired operators such as mutation, crossover and selection. Some examples of GA applications include optimizing decision trees for better performance, automatically solve sudoku puzzles, hyperparameter optimization, etc.
","In computer science and operations research, a genetic algorithm (GA) is a metaheuristic inspired by the process of natural selection that belongs to the larger class of evolutionary algorithms (EA). Genetic algorithms are commonly used to generate high-quality solutions to optimization and search problems by relying on biologically inspired operators such as mutation, crossover and selection.","Some examples of GA applications include optimizing decision trees for better performance, automatically solve sudoku puzzles, hyperparameter optimization, etc.","[' What are some examples of GA applications?', ' What is an example of a GA application?']","['optimizing decision trees for better performance, automatically solve sudoku puzzles, hyperparameter optimization', 'optimizing decision trees for better performance, automatically solve sudoku puzzles']","[0.7607408165931702, 0.477945014834404]"
20,genetic algorithm,The building block hypothesis,"Genetic algorithms are simple to implement, but their behavior is difficult to understand. In particular, it is difficult to understand why these algorithms frequently succeed at generating solutions of high fitness when applied to practical problems. The building block hypothesis (BBH) consists of:
","Genetic algorithms are simple to implement, but their behavior is difficult to understand. In particular, it is difficult to understand why these algorithms frequently succeed at generating solutions of high fitness when applied to practical problems.",The building block hypothesis (BBH) consists of:,[' What is the building block hypothesis?'],['BBH'],[0.3928694576025009]
21,genetic algorithm,The building block hypothesis,"Despite the lack of consensus regarding the validity of the building-block hypothesis, it has been consistently evaluated and used as reference throughout the years. Many estimation of distribution algorithms, for example, have been proposed in an attempt to provide an environment in which the hypothesis would hold. Although good results have been reported for some classes of problems, skepticism concerning the generality and/or practicality of the building-block hypothesis as an explanation for GAs efficiency still remains. Indeed, there is a reasonable amount of work that attempts to understand its limitations from the perspective of estimation of distribution algorithms.","Despite the lack of consensus regarding the validity of the building-block hypothesis, it has been consistently evaluated and used as reference throughout the years. Many estimation of distribution algorithms, for example, have been proposed in an attempt to provide an environment in which the hypothesis would hold.","Although good results have been reported for some classes of problems, skepticism concerning the generality and/or practicality of the building-block hypothesis as an explanation for GAs efficiency still remains. Indeed, there is a reasonable amount of work that attempts to understand its limitations from the perspective of estimation of distribution algorithms.","[' What has been reported for some classes of problems?', ' What is skepticism regarding the generality and/or practicality of the building-block hypothesis as an explanation for GAs efficiency?', ' From the perspective of estimation of distribution algorithms, understand its limitations from what perspective?']","['good results', 'still remains', 'building-block hypothesis']","[0.9711193144321442, 0.4861859008669853, 0.14923787862062454]"
22,genetic algorithm,Problem domains,"Problems which appear to be particularly appropriate for solution by genetic algorithms include timetabling and scheduling problems, and many scheduling software packages are based on GAs. GAs have also been applied to engineering. Genetic algorithms are often applied as an approach to solve global optimization problems.
","Problems which appear to be particularly appropriate for solution by genetic algorithms include timetabling and scheduling problems, and many scheduling software packages are based on GAs. GAs have also been applied to engineering.",Genetic algorithms are often applied as an approach to solve global optimization problems.,[' Genetic algorithms are often applied as an approach to solve what?'],['global optimization problems'],[0.8928320705890656]
23,genetic algorithm,Problem domains,"As a general rule of thumb genetic algorithms might be useful in problem domains that have a complex fitness landscape as mixing, i.e., mutation in combination with crossover, is designed to move the population away from local optima that a traditional hill climbing algorithm might get stuck in. Observe that commonly used crossover operators cannot change any uniform population. Mutation alone can provide ergodicity of the overall genetic algorithm process (seen as a Markov chain).
","As a general rule of thumb genetic algorithms might be useful in problem domains that have a complex fitness landscape as mixing, i.e., mutation in combination with crossover, is designed to move the population away from local optima that a traditional hill climbing algorithm might get stuck in. Observe that commonly used crossover operators cannot change any uniform population.",Mutation alone can provide ergodicity of the overall genetic algorithm process (seen as a Markov chain).,"[' What can provide ergodicity of the overall genetic algorithm process?', ' What can be seen as a Markov chain?']","['Mutation', 'Mutation alone can provide ergodicity of the overall genetic algorithm process']","[0.7512477338314056, 0.5757484287023544]"
24,genetic algorithm,Problem domains,"[I]t is quite unnatural to model applications in terms of genetic operators like mutation and crossover on bit strings. The pseudobiology adds another level of complexity between you and your problem. Second, genetic algorithms take a very long time on nontrivial problems. [...] [T]he analogy with evolution—where significant progress require [sic] millions of years—can be quite appropriate.
",[I]t is quite unnatural to model applications in terms of genetic operators like mutation and crossover on bit strings. The pseudobiology adds another level of complexity between you and your problem.,"Second, genetic algorithms take a very long time on nontrivial problems. [...] [T]he analogy with evolution—where significant progress require [sic] millions of years—can be quite appropriate.","[' How long do genetic algorithms take on nontrivial problems?', ' What is an analogy with evolution?', ' How long does significant progress require?']","['very long time', 'significant progress require [sic] millions of years', 'millions of years']","[0.6769793629646301, 0.6107938289642334, 0.7856189906597137]"
25,genetic algorithm,Problem domains,"
I have never encountered any problem where genetic algorithms seemed to me the right way to attack it. Further, I have never seen any computational results reported using genetic algorithms that have favorably impressed me. Stick to simulated annealing for your heuristic search voodoo needs.","
I have never encountered any problem where genetic algorithms seemed to me the right way to attack it. Further, I have never seen any computational results reported using genetic algorithms that have favorably impressed me.",Stick to simulated annealing for your heuristic search voodoo needs.,[' What type of annealing is best for your heuristic search voodoo needs?'],['simulated'],[0.9165331721305847]
